Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
43,Junta de Andalucía,JA 10/2012,Fiscalización de las cuentas rendidas por las universidades públicas de Andalucía,"Nro. 120, 24/04/2014",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=365&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=365&type=resume,http://www.juntadeandalucia.es/boja/2014/120/BOJA14-120-00170-10276-01_00049840.pdf,2012
44,Junta de Andalucía,JA 06/2012,Análisis de las actuaciones de la Junta de Andalucía para el fomento del turismo en la CAA,"Nro. 99, 26/05/2014",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=363&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=363&type=resume,http://www.juntadeandalucia.es/boja/2014/99/BOJA14-099-00064-8580-01_00048112.pdf,2012
39,Junta de Andalucía,JA 03/2012,Fiscalización de las actuaciones en materia de Infraestructuras Judiciales de Andalucía en el periodo 2002-2013,"Nro. 16, 26/01/2015",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=384&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=384&type=resume,http://www.juntadeandalucia.es/eboja/2015/16/BOJA15-016-00071-621-01_00061930.pdf,2012
48,Junta de Andalucía,JA 07/2012,Fiscalización de los gastos de funcionamiento de los centros docentes no universitarios de Andalucía,"Nro. 139, 18/07/2013",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=341&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=341&type=resume,http://www.juntadeandalucia.es/boja/2013/139/BOJA13-139-00066-11866-01_00030646.pdf,2012
57,Junta de Andalucía,JA 02/2012,Gastos electorales de las elecciones al Parlamento de Andalucía. 2012,"Nro. 242, 12/12/2012",Cerca de 1 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=316&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=316&type=resume,http://www.juntadeandalucia.es/eboja/2012/242/BOJA12-242-00021-19882-01_00018056.pdf,2012
52,Junta de Andalucía,JA 09/2012,"Fiscalización de las operaciones extrapresupuestarias de la Junta de Andalucía, acreedores pendientes de aplicar a presupuesto y seguimiento de recomendaciones (INTEGRADO en Informe de CUENTA GENERAL 2011)","Nro. 64, 04/04/2013",Cerca de 2 año(s),No está accesible el informe completo,No está accesible el informe ejecutivo,http://www.juntadeandalucia.es/boja/2013/64/index.html,2012
71,Corporaciones Locales,SL 06/2012,"Servicios prestados a los municipios por las Diputaciones Provinciales de Cádiz, Córdoba, Huelva y Sevilla, y el control interno de su actividad económico-financiera y contable","Nro. 102, 29/05/2014",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=361&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=361&type=resume,http://www.juntadeandalucia.es/boja/2014/102/BOJA14-102-00210-8584-01_00048125.pdf,2012
72,Corporaciones Locales,SL 03.1/2012,"Análisis de la tesorería de los municipios de más de 50.000 hab. que no sean capitales de provincia (Ayuntamientos de Alcalá de Guadaira, Chiclana de la Frontera, El Ejido, Marbella, Mijas y Roquetas de Mar)","Nro. 80, 28/04/2014",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=359&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=359&type=resume,https://www.juntadeandalucia.es/boja/2014/80/BOJA14-080-00106-7010-01_00046602.pdf,2012
83,Corporaciones Locales,SL 03/2011,Fiscalización de determinadas áreas del Ayuntamiento de Fuengirola. Málaga. 2010,"Nro. 249, 21/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=324&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=324&type=resume,http://www.juntadeandalucia.es/boja/2012/249/BOJA12-249-00069-20352-01_00018498.pdf,2011
80,Corporaciones Locales,SL 09/2011,Fiscalización de determinadas áreas del Ayuntamiento de la Línea de la Concepción (Cádiz). 2010,"Nro. 44, 05/03/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=330&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=330&type=resume,http://www.juntadeandalucia.es/eboja/2013/44/BOJA13-044-00061-3568-01_00022647.pdf,2011
51,Organismos y Empresas Públicas,OE 07/2011,"Fiscalización de regularidad de la Empresa Municipal de Saneamientos de Córdoba, S.A.(SADECO) ","Nro. 13, 18/01/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=325&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=325&type=resume,Debe consultarse directamente en BOJA,2011
84,Corporaciones Locales,SL 04/2011,Fiscalización del Ayuntamiento de Torreblascopedro (Jaén). 2010,"Nro. 249, 21/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=322&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=322&type=resume,http://www.juntadeandalucia.es/boja/2012/249/BOJA12-249-00032-20348-01_00018496.pdf,2011
79,Corporaciones Locales,SL 10/2011,Fiscalización de determinadas áreas del Ayuntamiento de Rincón de la Victoria. 2010,"Nro. 140, 19/07/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=342&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=342&type=resume,http://www.juntadeandalucia.es/eboja/2013/140/BOJA13-140-00098-11865-01_00030645.pdf,2011
86,Corporaciones Locales,SL 06/2011,Fiscalización de las Fundaciones Públicas Locales. 2010,"Nro. 242, 12/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=313&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=313&type=resume,http://www.juntadeandalucia.es/eboja/2012/242/BOJA12-242-00049-19859-01_00018042.pdf,2011
87,Corporaciones Locales,SL 07/2011,Fiscalización de las tasas por utilización privativa o aprovechamiento especial del dominio público por empresas explotadoras de servicios de suministros en municipios de 50.000 a 100.000 habitantes. 2010,"Nro. 245, 17/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=312&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=312&type=resume,http://www.juntadeandalucia.es/eboja/2012/245/BOJA12-245-00037-20053-01_00018223.pdf,2011
93,Corporaciones Locales,SL 05/2011,Fiscalización de actividades culturales en municipios con población entre 20.000 y 50.000 hab.,"Nro. 227, 20/11/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=307&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=307&type=resume,http://www.juntadeandalucia.es/boja/2012/227/BOJA12-227-00059-18619-01_00016959.pdf,2011
58,Organismos y Empresas Públicas,OE 04/2011,Fiscalización de regularidad del Servicio Provincial de Recaudación y Gestión Tributaria de la Diputación Provincial de Huelva. 2010 ,"Nro. 227, 20/11/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=308&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=308&type=resume,http://www.juntadeandalucia.es/boja/2012/227/BOJA12-227-00030-18616-01_00016957.pdf,2011
44,Organismos y Empresas Públicas,OE 09/2011,"Fiscalización de regularidad de Sevilla Global, S.A.M. 2010 ","Nro. 122, 25/06/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=340&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=340&type=resume,Debe consultarse directamente en BOJA,2011
49,Organismos y Empresas Públicas,OE 05/2011,"Fiscalización de los fondos destinados al desarrollo del tejido empresarial y fomento de la innovación en Andalucía, gestionados por la Agencia de Innovación y Desarrollo de Andalucía (IDEA). 2010 ","Nro. 80, 25/04/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=334&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=334&type=resume,Debe consultarse directamente en BOJA,2011
47,Organismos y Empresas Públicas,OE 10/2011,Fiscalización de regularidad de la Sociedad para la Promoción y Reconversión Económica de Andalucía (SOPREA) y de los fondos sin personalidad jurídica en los que interviene. 2010 ,"Nro. 90, 10/05/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=336&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=336&type=resume,Debe consultarse directamente en BOJA,2011
48,Organismos y Empresas Públicas,OE 02/2011,Fiscalización operativa del Hospital Universitario Virgen de la Victoria de Málaga. 2010 ,"Nro. 90, 10/05/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=335&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=335&type=resume,Debe consultarse directamente en BOJA,2011
52,Organismos y Empresas Públicas,OE 06/2011,"Fiscalización de regularidad de la Escuela Andaluza de Salud Pública, S. A. 2010","Nro. 249, 21/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=323&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=323&type=resume,http://www.juntadeandalucia.es/boja/2012/249/BOJA12-249-00060-20350-01_00018497.pdf,2011
42,Junta de Andalucía,JA 02/2011,Análisis del periodo medio de pago de las obligaciones reconocidas en el Presupuesto de la Junta de Andalucía. 2010 y 2011,"Nro. 114, 16/06/2014",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=367&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=367&type=resume,http://www.juntadeandalucia.es/eboja/2014/114/BOJA14-114-00051-9996-01_00049517.pdf,2011
60,Junta de Andalucía,JA 01/2011,"Fiscalización de la Cuenta General, Contratación Pública y Fondos de Compensación Interterritorial. 2010","Nro. 223, 14/11/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=310&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=310&type=resume,http://www.juntadeandalucia.es/eboja/2012/223/s3.html,2011
56,Junta de Andalucía,JA 11/2011,Fiscalización de las ayudas sociolaborales a trabajadores afectados por expedientes de regulación de empleo y empresas en crisis otorgadas por la Administración de la Junta de Andalucía. Ejercicios 2001-2010,"Nro. 245, 17/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=317&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=317&type=resume,http://www.juntadeandalucia.es/eboja/2012/245/BOJA12-245-00184-20040-01_00018213.pdf,2011
55,Junta de Andalucía,JA 07/2011,"Análisis del capítulo II ""Gastos corrientes en bienes y servicios"" del presupuesto de gastos de la Junta de Andalucía: especial referencia al Servicio Andaluz de Salud","Nro. 245, 17/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=318&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=318&type=resume,http://www.juntadeandalucia.es/eboja/2012/245/BOJA12-245-00139-20041-01_00018214.pdf,2011
59,Junta de Andalucía,JA 03/2011,Evolución del endeudamiento de la Junta de Andalucía,"Nro. 224, 15/11/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=22&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=22&type=resume,http://www.juntadeandalucia.es/boja/2012/224/BOJA12-224-00040-18362-01_00016666.pdf,2011
49,Junta de Andalucía,JA 10/2011,"Fiscalización de subvenciones. Segmento de las superiores a 1,8 M. 2010","Nro. 110, 07/06/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=339&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=339&type=resume,http://www.juntadeandalucia.es/eboja/2013/110/BOJA13-110-00124-9284-01_00028124.pdf,2011
47,Junta de Andalucía,JA 04/2011,Subvenciones concedidas por la Junta de Andalucía a empresas y familias e instituciones sin fines de lucro. Perceptores del segmento de 10.000 a 30.000 euros.,"Nro. 188, 25/09/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=345&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=345&type=resume,http://www.juntadeandalucia.es/eboja/2013/188/BOJA13-188-00031-15186-01_00033926.pdf,2011
53,Organismos y Empresas Públicas,OE 08/2011,Fiscalización de la actividad de fomento del Servicio Andaluz de Empleo (SAE) y seguimiento de las recomendaciones incluidas en el informe de determinadas áreas del SAE-2004. Ejercicio 2009,"Nro. 249, 21/12/2012",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=319&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=319&type=resume,http://www.juntadeandalucia.es/boja/2012/249/BOJA12-249-00074-20346-01_00018494.pdf,2011
35,Organismos y Empresas Públicas,OE 03/2011,Fiscalización de regularidad de la Fundación Progreso y Salud. 2010 ,"Nro. 131, 08/07/2014",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=369&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=369&type=resume,Debe consultarse directamente en BOJA,2011
50,Organismos y Empresas Públicas,OE 01/2011,Fiscalización de las subvenciones concedidas a los Consorcios Escuela de Formación para el Empleo de la Junta de Andalucía. 2008-2009,"Nro. 80, 25/04/2013",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=329&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=329&type=resume,http://www.juntadeandalucia.es/boja/2013/80/BOJA13-080-00043-5297-01_00024291.pdf,2011
